Date,Bitcoin,Gold,S&P500
2021-01-01,39371.04,1912.3,3803.79
2021-01-08,39187.33,1850.3,3795.54
2021-01-15,30825.7,1865.3,3853.07
2021-01-22,33466.1,1837.9,3787.38
2021-01-29,36926.07,1788.9,3871.74
2021-02-05,47909.33,1824.9,3916.38
2021-02-12,51679.8,1773.4,3913.97
2021-02-19,47093.85,1774.4,3829.34
2021-02-26,48561.17,1700.2,3768.47
2021-03-05,57805.12,1722.3,3939.34
2021-03-12,57858.92,1732.2,3915.46
2021-03-19,51704.16,1724.9,3909.52
2021-03-26,59095.81,1726.5,4019.87
2021-04-02,58323.95,1756.8,4097.17
2021-04-09,63314.01,1765.4,4170.42
2021-04-16,51762.27,1781.2,4134.98
2021-04-23,53555.11,1768.1,4211.47
2021-04-30,56396.52,1815.5,4201.62
2021-05-07,49716.19,1823.8,4112.5
2021-05-14,40782.74,1881.8,4159.12
2021-05-21,38436.97,1895.7,4200.88
2021-05-28,39208.77,1871.2,4192.85
2021-06-04,36702.6,1894.2,4239.18
2021-06-11,38053.5,1773.8,4221.86
2021-06-18,34662.44,1775.6,4266.49
2021-06-25,33572.12,1775.9,4319.94
2021-07-02,32877.37,1799.6,4320.82
2021-07-09,31780.73,1828.4,4360.03
2021-07-16,32313.11,1805.0,4367.48
2021-07-23,40008.42,1831.2,4419.15
2021-07-30,40869.55,1805.1,4429.1
2021-08-06,44428.29,1749.0,4460.83
2021-08-13,46717.58,1780.2,4405.8
2021-08-20,46942.22,1792.2,4470.0
2021-08-27,49327.72,1808.7,4536.95
2021-09-03,46391.42,1797.4,4493.28
2021-09-10,47783.36,1754.6,4473.75
2021-09-17,44895.1,1747.7,4448.98
2021-09-24,43790.89,1755.3,4307.54
2021-10-01,53805.98,1757.9,4399.76
2021-10-08,57321.52,1796.7,4438.26
2021-10-15,62210.17,1781.2,4549.78
2021-10-22,60622.14,1801.6,4596.42
2021-10-29,61452.23,1793.0,4680.06
2021-11-05,64949.96,1863.2,4649.27
2021-11-12,56942.14,1861.0,4704.54
2021-11-19,57274.68,1791.4,4701.46
2021-11-26,56477.82,1760.7,4577.1
2021-12-03,47672.12,1774.6,4667.45
2021-12-10,47665.43,1796.6,4668.67
2021-12-17,50784.54,1811.2,4725.79
2021-12-24,47178.13,1812.7,4778.73
2021-12-31,43160.93,1788.7,4696.05
2022-01-07,42591.57,1821.2,4659.03
2022-01-14,40680.42,1842.5,4482.73
2022-01-21,37138.23,1793.3,4326.51
2022-01-28,37154.6,1803.0,4477.44
2022-02-04,43565.11,1836.2,4504.08
2022-02-11,40538.01,1900.7,4380.26
2022-02-18,38332.61,1925.1,4288.7
2022-02-25,42451.79,1934.4,4363.49
2022-03-04,39437.46,1998.1,4259.52
2022-03-11,40951.38,1942.1,4411.67
2022-03-18,43960.93,1961.6,4520.16
2022-03-25,45538.68,1949.2,4530.41
2022-04-01,43503.85,1933.8,4500.21
2022-04-08,39935.52,1970.9,4392.59
2022-04-15,40527.36,1944.9,4393.66
2022-04-22,39773.83,1888.7,4287.5
2022-04-29,36575.14,1874.0,4146.87
2022-05-06,29047.75,1823.8,3930.08
2022-05-13,30314.33,1841.2,3900.79
2022-05-20,29267.22,1847.4,4057.84
2022-05-27,30467.49,1866.5,4176.82
2022-06-03,30112.0,1848.8,4017.82
2022-06-10,20381.65,1845.7,3666.77
2022-06-17,21085.88,1825.7,3795.73
2022-06-24,19784.73,1804.1,3785.38
2022-07-01,21637.59,1737.9,3902.62
2022-07-08,20569.92,1704.5,3790.38
2022-07-15,23164.63,1712.7,3998.95
2022-07-22,23843.89,1750.3,4072.43
2022-07-29,22630.96,1788.5,4151.94
2022-08-05,23957.53,1789.7,4207.27
2022-08-12,23212.74,1755.3,4283.74
2022-08-19,21600.9,1757.7,4199.12
2022-08-26,20127.14,1696.6,3966.85
2022-09-02,19329.83,1708.0,4006.18
2022-09-09,19701.21,1665.4,3901.35
2022-09-16,19413.55,1670.8,3757.99
2022-09-23,19573.05,1658.5,3640.47
2022-09-30,19955.44,1711.7,3744.52
2022-10-07,19382.9,1670.0,3669.91
2022-10-14,19053.74,1630.8,3665.78
2022-10-21,20285.84,1660.7,3807.3
2022-10-28,20209.99,1627.3,3719.89
2022-11-04,17586.77,1750.3,3956.37
2022-11-11,16687.52,1760.8,3946.56
2022-11-18,16604.46,1744.9,4027.26
2022-11-25,16967.13,1801.1,4076.57
2022-12-02,17233.47,1788.7,3963.51
2022-12-09,17364.87,1777.2,3895.75
2022-12-16,16830.34,1787.0,3822.39
2022-12-23,16642.34,1819.5,3849.28
2022-12-30,16836.74,1834.8,3808.1
2023-01-06,18869.59,1895.5,3983.17
2023-01-13,21086.79,1922.1,3898.85
2023-01-20,23032.78,1929.1,4060.43
2023-01-27,23471.87,1916.3,4179.76
2023-02-03,21819.04,1866.2,4081.5
2023-02-10,23623.47,1842.0,4090.41
2023-02-17,23947.49,1818.0,4012.32
2023-02-24,23475.47,1833.5,3981.35
2023-03-03,20363.02,1829.3,3918.32
2023-03-10,25052.79,1919.0,3960.28
2023-03-17,28333.97,1993.8,3948.72
